iter	Passed	Remaining
1189	45576	69322
1190	45618	69289
1191	45672	69274
1192	45711	69237
1193	45753	69205
1194	45792	69167
1195	45831	69130
1196	45870	69092
1197	45914	69064
1198	45961	69037
1199	45999	68998
1200	46050	68980
1201	46091	68946
1202	46131	68909
1203	46171	68873
1204	46213	68840
1205	46251	68801
1206	46290	68765
1207	46333	68733
1208	46376	68702
1209	46416	68666
1210	46461	68637
1211	46507	68610
1212	46552	68580
1213	46597	68553
1214	46641	68523
1215	46685	68492
1216	46726	68457
1217	46771	68429
1218	46819	68404
1219	46869	68383
1220	46912	68351
1221	46955	68320
1222	47005	68298
1223	47055	68276
1224	47104	68252
1225	47153	68229
1226	47197	68199
1227	47243	68172
1228	47285	68139
1229	47333	68113
1230	47377	68084
1231	47422	68053
1232	47484	68050
1233	47527	68018
1234	47571	67986
1235	47611	67950
1236	47650	67911
1237	47690	67876
1238	47731	67840
1239	47771	67804
1240	47814	67772
1241	47851	67732
1242	47893	67698
1243	47936	67665
1244	47981	67635
1245	48022	67601
1246	48065	67569
1247	48110	67539
1248	48155	67510
1249	48200	67481
1250	48242	67446
1251	48284	67412
1252	48322	67374
1253	48359	67332
1254	48402	67300
1255	48446	67269
1256	48488	67235
1257	48533	67206
1258	48579	67177
1259	48620	67142
1260	48662	67108
1261	48702	67072
1262	48747	67042
1263	48791	67011
1264	48834	66978
1265	48882	66953
1266	48923	66916
1267	48963	66881
1268	49005	66847
1269	49046	66811
1270	49082	66769
1271	49130	66742
1272	49182	66723
1273	49228	66693
1274	49271	66660
1275	49322	66639
1276	49376	66621
1277	49424	66595
1278	49481	66581
1279	49527	66553
1280	49573	66523
1281	49621	66497
1282	49668	66470
1283	49710	66436
1284	49751	66400
1285	49803	66378
1286	49844	66342
1287	49888	66311
1288	49931	66278
1289	49977	66249
1290	50024	66221
1291	50070	66192
1292	50113	66159
1293	50159	66129
1294	50203	66097
1295	50249	66069
1296	50291	66033
1297	50335	66002
1298	50381	65973
1299	50420	65935
1300	50460	65896
1301	50509	65871
1302	50556	65844
1303	50600	65812
1304	50643	65777
1305	50691	65751
1306	50733	65716
1307	50780	65689
1308	50824	65655
1309	50867	65623
1310	50908	65586
1311	50953	65555
1312	51001	65528
1313	51045	65496
1314	51085	65459
1315	51125	65422
1316	51166	65386
1317	51206	65348
1318	51245	65310
1319	51293	65282
1320	51338	65251
1321	51380	65216
1322	51425	65185
1323	51467	65150
1324	51509	65115
1325	51551	65080
1326	51590	65041
1327	51632	65007
1328	51677	64976
1329	51721	64943
1330	51761	64905
1331	51805	64873
1332	51846	64837
1333	51884	64796
1334	51923	64759
1335	51963	64721
1336	52003	64683
1337	52043	64645
1338	52086	64611
1339	52126	64574
1340	52169	64540
1341	52211	64505
1342	52248	64464
1343	52286	64423
1344	52328	64389
1345	52373	64358
1346	52414	64321
1347	52459	64290
1348	52500	64253
1349	52543	64219
1350	52586	64186
1351	52631	64154
1352	52678	64124
1353	52720	64089
1354	52770	64065
1355	52811	64027
1356	52849	63987
1357	52891	63953
1358	52931	63915
1359	52978	63886
1360	53020	63851
1361	53061	63813
1362	53100	63774
1363	53156	63756
1364	53203	63727
1365	53242	63688
1366	53282	63650
1367	53322	63612
1368	53365	63578
1369	53409	63545
1370	53454	63513
1371	53495	63477
1372	53542	63447
1373	53592	63421
1374	53641	63394
1375	53686	63362
1376	53729	63328
1377	53773	63294
1378	53812	63256
1379	53853	63219
1380	53895	63184
1381	53939	63150
1382	53979	63112
1383	54017	63072
1384	54059	63037
1385	54095	62994
1386	54140	62961
1387	54179	62923
1388	54218	62883
1389	54261	62850
1390	54304	62815
1391	54347	62780
1392	54390	62745
1393	54431	62709
1394	54473	62673
1395	54524	62648
1396	54575	62623
1397	54623	62594
1398	54669	62563
1399	54716	62533
1400	54770	62511
1401	54830	62496
1402	54873	62460
1403	54915	62424
1404	54962	62395
1405	55010	62366
1406	55058	62337
1407	55105	62306
1408	55146	62270
1409	55192	62238
1410	55239	62208
1411	55279	62169
1412	55322	62134
1413	55362	62096
1414	55404	62060
1415	55445	62023
1416	55487	61988
1417	55528	61951
1418	55573	61918
1419	55616	61883
1420	55666	61856
1421	55706	61817
1422	55750	61784
1423	55798	61754
1424	55838	61716
1425	55880	61680
1426	55923	61645
1427	55962	61605
1428	56006	61572
1429	56055	61543
1430	56098	61508
1431	56140	61471
1432	56180	61433
1433	56226	61401
1434	56266	61363
1435	56306	61324
1436	56348	61289
1437	56393	61256
1438	56447	61233
1439	56486	61193
1440	56534	61164
1441	56573	61124
1442	56618	61091
1443	56664	61059
